import time: self [us] | cumulative | imported package
import time:       106 |        106 |   _io
import time:        23 |         23 |   marshal
import time:       226 |        226 |   posix
import time:       231 |        584 | _frozen_importlib_external
import time:        69 |         69 |   time
import time:        88 |        157 | zipimport
import time:        32 |         32 |     _codecs
import time:       206 |        238 |   codecs
import time:       250 |        250 |   encodings.aliases
import time:       379 |        866 | encodings
import time:       136 |        136 | encodings.utf_8
import time:        71 |         71 | _signal
import time:        20 |         20 |     _abc
import time:        77 |         96 |   abc
import time:       106 |        202 | io
import time:        26 |         26 |       _stat
import time:        45 |         70 |     stat
import time:       532 |        532 |     _collections_abc
import time:        25 |         25 |       genericpath
import time:        40 |         65 |     posixpath
import time:       221 |        886 |   os
import time:        38 |         38 |   _sitebuiltins
import time:       398 |        398 |   _distutils_hack
import time:        74 |         74 |     apport_python_hook
import time:       102 |        176 |   sitecustomize
import time:       787 |       2283 | site
import time:       107 |        107 |           __future__
import time:       197 |        197 |                 types
import time:        53 |         53 |                   _operator
import time:       188 |        241 |                 operator
import time:        72 |         72 |                     itertools
import time:       107 |        107 |                     keyword
import time:       119 |        119 |                     reprlib
import time:        45 |         45 |                     _collections
import time:       609 |        950 |                   collections
import time:        43 |         43 |                   _functools
import time:       360 |       1352 |                 functools
import time:      1416 |       3203 |               enum
import time:        57 |         57 |                 _sre
import time:       174 |        174 |                   re._constants
import time:       237 |        411 |                 re._parser
import time:        86 |         86 |                 re._casefix
import time:       243 |        795 |               re._compiler
import time:       113 |        113 |               copyreg
import time:       340 |       4450 |             re
import time:       141 |        141 |                 _weakrefset
import time:       362 |        502 |               weakref
import time:        55 |         55 |                   org
import time:         9 |         64 |                 org.python
import time:         9 |         73 |               org.python.core
import time:       136 |        711 |             copy
import time:       656 |        656 |                 _ast
import time:       452 |        452 |                 contextlib
import time:       746 |       1852 |               ast
import time:        29 |         29 |                   _opcode
import time:       407 |        436 |                 opcode
import time:       608 |       1043 |               dis
import time:       148 |        148 |               collections.abc
import time:       190 |        190 |                   warnings
import time:       129 |        318 |                 importlib
import time:        48 |        366 |               importlib.machinery
import time:       114 |        114 |                   token
import time:       754 |        868 |                 tokenize
import time:       101 |        968 |               linecache
import time:      1328 |       5703 |             inspect
import time:       465 |      11327 |           dataclasses
import time:       154 |        154 |               _typing
import time:      1726 |       1880 |             typing
import time:       149 |        149 |                         _socket
import time:      1761 |       1909 |                       typing_extensions
import time:        54 |         54 |                           math
import time:        79 |         79 |                           _datetime
import time:      1201 |       1332 |                         datetime
import time:       658 |       1989 |                       pydantic_core._pydantic_core
import time:       237 |        237 |                             numbers
import time:       493 |        730 |                           _decimal
import time:       119 |        848 |                         decimal
import time:        98 |         98 |                                 concurrent
import time:       793 |        793 |                                       textwrap
import time:       473 |       1266 |                                     traceback
import time:        46 |         46 |                                       _string
import time:       495 |        541 |                                     string
import time:       546 |        546 |                                     threading
import time:        37 |         37 |                                     atexit
import time:      1406 |       3793 |                                   logging
import time:       414 |       4206 |                                 concurrent.futures._base
import time:       143 |       4446 |                               concurrent.futures
import time:        34 |         34 |                                 _heapq
import time:       162 |        196 |                               heapq
import time:        43 |         43 |                                   select
import time:       367 |        410 |                                 selectors
import time:        46 |         46 |                                 errno
import time:       110 |        110 |                                 array
import time:      1028 |       1592 |                               socket
import time:        58 |         58 |                                   _locale
import time:       622 |        679 |                                 locale
import time:       411 |        411 |                                 signal
import time:        40 |         40 |                                 fcntl
import time:        66 |         66 |                                 msvcrt
import time:        25 |         25 |                                 _posixsubprocess
import time:       526 |       1745 |                               subprocess
import time:      2252 |       2252 |                                 _ssl
import time:        60 |         60 |                                     _struct
import time:        98 |        158 |                                   struct
import time:        41 |         41 |                                   binascii
import time:       273 |        471 |                                 base64
import time:      2051 |       4774 |                               ssl
import time:       197 |        197 |                               asyncio.constants
import time:       101 |        101 |                               asyncio.coroutines
import time:       122 |        122 |                                   _contextvars
import time:        82 |        203 |                                 contextvars
import time:        93 |         93 |                                 asyncio.format_helpers
import time:       167 |        167 |                                   asyncio.base_futures
import time:       134 |        134 |                                   asyncio.exceptions
import time:        90 |         90 |                                   asyncio.base_tasks
import time:       189 |        579 |                                 _asyncio
import time:       332 |       1205 |                               asyncio.events
import time:       172 |        172 |                               asyncio.futures
import time:       123 |        123 |                               asyncio.protocols
import time:       173 |        173 |                                 asyncio.transports
import time:        75 |         75 |                                 asyncio.log
import time:       511 |        758 |                               asyncio.sslproto
import time:       129 |        129 |                                   asyncio.mixins
import time:       301 |        301 |                                   asyncio.tasks
import time:       335 |        764 |                                 asyncio.locks
import time:       238 |       1001 |                               asyncio.staggered
import time:       111 |        111 |                               asyncio.trsock
import time:       716 |      17132 |                             asyncio.base_events
import time:       517 |        517 |                             asyncio.runners
import time:       193 |        193 |                             asyncio.queues
import time:       234 |        234 |                             asyncio.streams
import time:       148 |        148 |                             asyncio.subprocess
import time:       101 |        101 |                             asyncio.taskgroups
import time:       265 |        265 |                             asyncio.timeouts
import time:        82 |         82 |                             asyncio.threads
import time:       164 |        164 |                               asyncio.base_subprocess
import time:       310 |        310 |                               asyncio.selector_events
import time:       580 |       1053 |                             asyncio.unix_events
import time:       260 |      19981 |                           asyncio
import time:        18 |      19999 |                         asyncio.coroutines
import time:      6704 |      27550 |                       pydantic_core.core_schema
import time:       462 |      31909 |                     pydantic_core
import time:        94 |      32002 |                   pydantic.version
import time:       218 |      32220 |                 pydantic.warnings
import time:       221 |      32441 |               pydantic._migration
import time:       106 |        106 |                   typing_inspection
